"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42"
"model","8","2","11","1","1","2","1","7","8","12","11","7","2","14","8","12","5","14","13","9","4","4","4","9","9","5","13","14","10","7","5","11","6","3","6","3","6","3","12","10","10","13"
"K","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14"
"threshold","0.01","0.01","0.01","0.01","0.1","0.1","0.2","0.01","0.1","0.1","0.2","0.1","0.2","0.01","0.2","0.2","0.01","0.1","0.01","0.1","0.1","0.2","0.01","0.01","0.2","0.1","0.1","0.2","0.2","0.2","0.2","0.1","0.2","0.2","0.1","0.1","0.01","0.01","0.01","0.01","0.1","0.2"
"LL","-195781592.230286","-198233591.901239","-182299744.673193","-220906507.113854","-221249895.856416","-222771585.512669","-221637245.340636","-221819179.961253","-223441386.474416","-223183276.621537","-222964498.613811","-224645745.781053","-233544954.041404","-217583180.240696","-235188344.505203","-235887672.990614","-211533727.507882","-238871597.418875","-238477443.358786","-238767240.791888","-238767470.342423","-238794302.266179","-239274230.458566","-239776748.436149","-239836406.578078","-241715099.433918","-240695149.036068","-248578878.57741","-249513535.617137","-255086454.115357","-252763591.875819","-258318162.997935","26907004.961313","27254008.7307567","25850876.7796694","25478050.4493411","21004370.7104786","24118829.4430595","-Inf","-Inf","-Inf","-Inf"
"BIC","-445520406.490699","-446827307.857184","-459989409.85639","-463024539.420584","-463711316.905707","-464103549.329752","-464486015.874146","-464850005.870747","-466579384.929209","-466631969.438127","-467141423.441299","-470503137.510347","-480348039.054671","-481744630.851851","-482119953.214141","-483139986.381674","-484590084.27837","-497629736.42991","-498167192.175885","-498746006.776651","-498746345.122355","-498800008.969868","-499759865.354641","-500765022.065172","-500884338.34903","-501422181.668041","-502602603.530448","-509658779.853217","-512474639.507583","-515476892.58275","-516323307.892511","-521940310.347905","-47418106180.0467","-47458338759.6922","-49581973511.0479","-49585010626.5507","-67862601388.6483","-67950398802.0895","-Inf","-Inf","-Inf","-Inf"
"ICL","-445520408.948573","-446827309.493161","-459989411.833502","-463024539.779342","-463711319.500318","-464103551.755278","-464486019.472069","-464850006.675471","-466579385.730396","-466631971.252344","-467141425.612705","-470503140.751773","-480348040.946014","-481744631.447847","-482119955.363465","-483139987.258308","-484590086.43608","-497629736.766007","-498167194.103021","-498746007.482357","-498746345.656668","-498800009.532747","-499759867.067031","-500765023.449602","-500884339.558153","-501422182.593598","-502602603.733606","-509658781.907658","-512474639.986032","-515476896.396131","-516323307.973472","-521940314.657069","-47418106186.3733","-47458338761.5049","-49581973513.2128","-49585010628.3558","-67862601399.2214","-67950398803.9295","-Inf","-Inf","-Inf","-Inf"
"rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"originalOrder","2","3","7","9","23","17","37","8","16","15","35","22","31","4","30","29","6","18","10","25","26","40","12","11","39","20","24","32","33","36","34","21","41","42","27","28","13","14","1","5","19","38"
"complexity","5808801","5421553","10269266","2283541","2283541","1998130","2283541","2283554","2120452","2181687","2283638","2283554","1427313","5014415","1264229","1223468","6623260","2140899","2283625","2283541","2283528","2283528","2283528","2283541","2283541","1936939","2283625","1345806","1447707","571004","1162264","571004","428226","428220","509760","509750","998628","998594",NA,NA,NA,NA
"comment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pop<min.individuals","pop<min.individuals","pop<min.individuals","pop<min.individuals"
